sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,30,,良好,1.1,0.17,36,12,10,5,9,12.7,2.7,1.7,83,"2026/05/12 10:00:00",0.2,5.2,18,1,121.760056,25.129167,1
汐止,新北市,40,,良好,2.3,0.37,28,8,23,12,17,24,6.6,1.6,169,"2026/05/12 10:00:00",0.2,8.5,20,1,121.64081,25.06624,2
新店,新北市,53,細懸浮微粒,普通,1,0.59,33,9,29,17,20,25.4,5.3,1.5,0,"2026/05/12 10:00:00",0.3,13.2,26,0,121.537778,24.977222,4
土城,新北市,42,,良好,0.9,0.44,40,12,20,10,14,17.1,3,1.6,341,"2026/05/12 10:00:00",0.4,8,25,0,121.451861,24.982528,5
板橋,新北市,45,,良好,1.3,0.46,33,11,20,9,16,19.5,3.3,1.6,38,"2026/05/12 10:00:00",0.4,11.1,23,1,121.458667,25.012972,6
新莊,新北市,48,,良好,0.7,0.31,25,10,23,9,20,27,6.7,1.1,86,"2026/05/12 10:00:00",0.3,10.7,25,0,121.4325,25.037972,7
菜寮,新北市,44,,良好,1.3,0.35,32,11,18,10,13,17.7,4.5,1.4,313,"2026/05/12 10:00:00",0.4,10.8,20,0,121.481028,25.06895,8
林口,新北市,29,,良好,0.9,0.18,35,31,15,5,6,6.9,0.9,0.6,1,"2026/05/12 10:00:00",0.1,5.2,10,1,121.36548982,25.07798949,9
淡水,新北市,36,,良好,2.1,0.25,33,14,20,5,10,19.9,9,,,"2026/05/12 10:00:00",0.3,9,19,0,121.449239,25.1645,10
士林,臺北市,50,,良好,1.7,0.47,25,16,28,13,21,29.1,7.6,1.7,209,"2026/05/12 10:00:00",0.3,9.3,19,0,121.51666356,25.10334003,11
中山,臺北市,53,二氧化氮,普通,1.1,0.73,20,12,32,18,25,37.5,12.5,1.3,273,"2026/05/12 10:00:00",0.4,12.6,24,0,121.526528,25.062361,12
萬華,臺北市,52,二氧化氮,普通,1.1,0.62,23,9,29,15,23,31.3,7.6,1.2,335,"2026/05/12 10:00:00",0.4,12.3,23,0,121.507972,25.046503,13
古亭,臺北市,50,,良好,1.5,0.59,27,11,28,11,21,27.8,6.4,0.7,15,"2026/05/12 10:00:00",0.3,10.5,24,1,121.529556,25.020608,14
松山,臺北市,50,,良好,1.3,0.5,24,13,27,13,21,29.5,7.6,1.4,191,"2026/05/12 10:00:00",0.3,10.5,24,1,121.578611,25.05,15
大同,臺北市,57,二氧化氮,普通,1,0.93,15,8,28,15,31,53.6,21.9,-,-,"2026/05/12 10:00:00",0.7,13.1,22,0,121.51342074,25.06331455,16
桃園,桃園市,29,,良好,0.9,0.27,37,26,13,5,12,14.3,2.2,1,309,"2026/05/12 10:00:00",0.3,5.5,13,0,121.30500531,24.9947107,17
大園,桃園市,24,,良好,0.7,0.17,39,20,6,3,10,12.3,2.1,2.6,21,"2026/05/12 10:00:00",0.2,5.1,10,1,121.20251473,25.06100357,18
觀音,桃園市,29,,良好,0.7,0.14,43,29,6,5,6,7.9,1.7,2.3,45,"2026/05/12 10:00:00",0.1,7.3,10,0,121.08283092,25.03556747,19
平鎮,桃園市,38,,良好,2.2,0.28,31,27,14,8,16,20.8,4.3,0.5,32,"2026/05/12 10:00:00",0.3,9,14,0,121.203986,24.952786,20
